DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISÃO,SUBDIVISÕES,MUNICÍPIO,ESTADO
51350670Avenida Recife,51350670,Avenida Recife,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190150Rua Cândido Portinari,51190150,Rua Cândido Portinari,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190180Rua Orestes Barbosa,51190180,Rua Orestes Barbosa,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190190Rua Estudante Sinval Meira Henrique,51190190,Rua Estudante Sinval Meira Henrique,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51350351Travessa Teresópolis,51350351,Travessa Teresópolis,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51350450Avenida General Bento da Gama,51350450,Avenida General Bento da Gama,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190485Avenida Senador Robert Kennedy,51190485,Avenida Senador Robert Kennedy,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190235Rua José Fernandes Portugal,51190235,Rua José Fernandes Portugal,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51190655Rua Gonçalves de Magalhães,51190655,Rua Gonçalves de Magalhães,Ipsep,Região Político-Administrativa,RPA 06 | Sul,Recife,Pernambuco
50620720Rua Ciclovia República da Argélia,50620720,Rua Ciclovia República da Argélia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670000Avenida Caxangá,50670000,Avenida Caxangá,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670010Rua Ambrósio Machado,50670010,Rua Ambrósio Machado,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670020Rua Manoel Azevedo,50670020,Rua Manoel Azevedo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670030Vila Assunção,50670030,Vila Assunção,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670040Vila Elisa Tereza,50670040,Vila Elisa Tereza,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670050Rua Padre Fernão Cardim,50670050,Rua Padre Fernão Cardim,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670060Rua Ademar Pires Travassos,50670060,Rua Ademar Pires Travassos,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670070Rua Padre Antônio Lagreca,50670070,Rua Padre Antônio Lagreca,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670080Rua Cândida Lopes Marques,50670080,Rua Cândida Lopes Marques,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670090Rua Doutor Augusto Ribeiro,50670090,Rua Doutor Augusto Ribeiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670100Rua Canaã,50670100,Rua Canaã,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670110Rua Baronesa de Itapissuma,50670110,Rua Baronesa de Itapissuma,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670120Rua Pio Genésio Guerra,50670120,Rua Pio Genésio Guerra,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670130Avenida Mário Álvares Pereira de Lyra,50670130,Avenida Mário Álvares Pereira de Lyra,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670140Rua Pianista Sérgio Sobreira,50670140,Rua Pianista Sérgio Sobreira,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670150Rua Emma da Costa Gomes,50670150,Rua Emma da Costa Gomes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670160Rua Jacauna,50670160,Rua Jacauna,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670170Rua General Cândido Borges Castelo Branco,50670170,Rua General Cândido Borges Castelo Branco,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670180Rua Vilalva,50670180,Rua Vilalva,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670190Rua Comendador Álvares de Carvalho,50670190,Rua Comendador Álvares de Carvalho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670200Praça Salgueiro,50670200,Praça Salgueiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670210Rua Ribeirão,50670210,Rua Ribeirão,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670220Rua Rio Formoso,50670220,Rua Rio Formoso,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670230Rua Feliciano Lins,50670230,Rua Feliciano Lins,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670240Rua Silvestre,50670240,Rua Silvestre,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670250Rua Pureza,50670250,Rua Pureza,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670260Rua do Bom Pastor,50670260,Rua do Bom Pastor,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670270Rua Algaroba,50670270,Rua Algaroba,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670280Rua Pituba,50670280,Rua Pituba,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670300Rua Agripino Lacerda,50670300,Rua Agripino Lacerda,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670310Rua Cosme Bezerra Cavalcanti,50670310,Rua Cosme Bezerra Cavalcanti,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670320Rua Miguel Ângelo,50670320,Rua Miguel Ângelo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670330Rua Osvaldo Guimarães,50670330,Rua Osvaldo Guimarães,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670340Rua José Tavares da Mota,50670340,Rua José Tavares da Mota,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670350Rua Gaspar Perez,50670350,Rua Gaspar Perez,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670360Rua Jornalista Saulo Freire,50670360,Rua Jornalista Saulo Freire,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670370Rua Manoel Joaquim de Almeida,50670370,Rua Manoel Joaquim de Almeida,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670380Rua Emiliano Braga,50670380,Rua Emiliano Braga,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670390Rua João Sales de Menezes,50670390,Rua João Sales de Menezes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
506703911ª Travessa João Sales de Menezes,50670391,1ª Travessa João Sales de Menezes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
506703922ª Travessa João Sales de Menezes,50670392,2ª Travessa João Sales de Menezes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
506703944ª Travessa João Sales de Menezes,50670394,4ª Travessa João Sales de Menezes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670400Rua Celestino Neves,50670400,Rua Celestino Neves,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670410Rua Ceres,50670410,Rua Ceres,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670421Rodovia BR-101 RPA 06 | Sul,50670421,Rodovia BR-101 RPA 06 | Sul,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670423Avenida Professor Moraes Rego,50670423,Avenida Professor Moraes Rego,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670430Rua General Vargas,50670430,Rua General Vargas,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670450Rua Frei Orlando,50670450,Rua Frei Orlando,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670460Rua Lago Verde,50670460,Rua Lago Verde,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670470Rua Manoel Joaquim de Castro,50670470,Rua Manoel Joaquim de Castro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670480Rua Mauricéia,50670480,Rua Mauricéia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670490Rua Inácio Leopoldo,50670490,Rua Inácio Leopoldo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670500Praça Ministro João Gonçalves de Souza,50670500,Praça Ministro João Gonçalves de Souza,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670510Rua Domingos Borges de Barros,50670510,Rua Domingos Borges de Barros,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670520Rua Pedra Fina,50670520,Rua Pedra Fina,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670530Rua Jacob Kahan,50670530,Rua Jacob Kahan,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670550Rua Borges da Fonseca,50670550,Rua Borges da Fonseca,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670560Rua Rego Monteiro,50670560,Rua Rego Monteiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670570Rua José Frigueiro,50670570,Rua José Frigueiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670580Rua Major Horácio Pires Galvão,50670580,Rua Major Horácio Pires Galvão,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670590Rua Manoel Estevão da Costa,50670590,Rua Manoel Estevão da Costa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670600Rua João Martins de Athayde,50670600,Rua João Martins de Athayde,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670610Rua Laurindo Rodrigues Campelo,50670610,Rua Laurindo Rodrigues Campelo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670620Rua Cônego Luiz Gonzaga do Monte,50670620,Rua Cônego Luiz Gonzaga do Monte,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670630Praça do Bom Pastor,50670630,Praça do Bom Pastor,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670640Rua Geraldo Gambôa,50670640,Rua Geraldo Gambôa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670650Praça Josenildo Paes Barreto,50670650,Praça Josenildo Paes Barreto,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670900Avenida Professor Moraes Rego,50670900,Avenida Professor Moraes Rego,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670901Avenida Professor Moraes Rego,50670901,Avenida Professor Moraes Rego,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670902Avenida Caxangá 3841,50670902,Avenida Caxangá 3841,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50670906Rua do Bom Pastor 1407,50670906,Rua do Bom Pastor 1407,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680000Rua São Mateus,50680000,Rua São Mateus,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680010Rua Monsenhor Fabrício,50680010,Rua Monsenhor Fabrício,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680020Rua Araricá,50680020,Rua Araricá,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680030Rua Luzitânia,50680030,Rua Luzitânia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680040Rua Vereador Wilson de Barros Leal,50680040,Rua Vereador Wilson de Barros Leal,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680050Rua Miguel Lapenda,50680050,Rua Miguel Lapenda,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680060Rua Cezária Campello,50680060,Rua Cezária Campello,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680061Travessa Cezária Campello,50680061,Travessa Cezária Campello,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680070Rua Professor Severino Jordão Emerenciano,50680070,Rua Professor Severino Jordão Emerenciano,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680080Rua Antônio Carlos Ribeiro de Andrade,50680080,Rua Antônio Carlos Ribeiro de Andrade,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680090Rua José Felipe Santiago,50680090,Rua José Felipe Santiago,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680100Rua Dourados,50680100,Rua Dourados,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680110Rua Baltazar da Silva Lisboa,50680110,Rua Baltazar da Silva Lisboa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680120Rua Quintino Galhardo,50680120,Rua Quintino Galhardo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680130Rua Leal de Barros,50680130,Rua Leal de Barros,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680140Rua José Francisco Acioly,50680140,Rua José Francisco Acioly,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680150Rua Odilon Araújo,50680150,Rua Odilon Araújo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680160Rua Doutor Aluísio Baltar,50680160,Rua Doutor Aluísio Baltar,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680170Rua Antônio de Santa,50680170,Rua Antônio de Santa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680180Rua Pereira Coutinho Filho,50680180,Rua Pereira Coutinho Filho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680190Rua Miguel Leão,50680190,Rua Miguel Leão,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680200Rua Rezende,50680200,Rua Rezende,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680210Rua Itapiranga,50680210,Rua Itapiranga,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680211Travessa Itapiranga,50680211,Travessa Itapiranga,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680220Rua Dom Diamantino Costa,50680220,Rua Dom Diamantino Costa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680230Rua Maria de Fátima Soares,50680230,Rua Maria de Fátima Soares,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680240Rua José Pessoa de Queiroz,50680240,Rua José Pessoa de Queiroz,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680250Rua Sobral,50680250,Rua Sobral,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680260Rua José Stival,50680260,Rua José Stival,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680270Rua Simonésia,50680270,Rua Simonésia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680275Rua Couto de Magalhães,50680275,Rua Couto de Magalhães,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680280Rua Nova Aliança,50680280,Rua Nova Aliança,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680285Rua Colinas do Tocantins,50680285,Rua Colinas do Tocantins,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680290Rua Guaratiba,50680290,Rua Guaratiba,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680300Rua Água Branca,50680300,Rua Água Branca,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680310Rua Rouxinol,50680310,Rua Rouxinol,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680320Rua Silvânia,50680320,Rua Silvânia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680321Travessa Tupiniquins,50680321,Travessa Tupiniquins,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680330Rua Francisco Gonçalves Ribeiro,50680330,Rua Francisco Gonçalves Ribeiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680340Rua Desembargador Oscar Coutinho,50680340,Rua Desembargador Oscar Coutinho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680350Rua Lucilo Varejão,50680350,Rua Lucilo Varejão,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680360Rua Doutor Júlio Campelo,50680360,Rua Doutor Júlio Campelo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680370Rua João Rique,50680370,Rua João Rique,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680380Rua Jackson de Figueiredo,50680380,Rua Jackson de Figueiredo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680390Rua Jornalista Otávio Moraes,50680390,Rua Jornalista Otávio Moraes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680400Avenida Jornalista Possidônio Cavalcanti Bastos,50680400,Avenida Jornalista Possidônio Cavalcanti Bastos,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680410Rua Doutor José Marcionilo de Barros Lins,50680410,Rua Doutor José Marcionilo de Barros Lins,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680420Rua Deputado Carlos Caribé,50680420,Rua Deputado Carlos Caribé,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680430Rua Itarana,50680430,Rua Itarana,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680440Rua Pesqueiro,50680440,Rua Pesqueiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680450Rua Pancas,50680450,Rua Pancas,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680460Rua Palmital,50680460,Rua Palmital,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680470Rua Joaquim Ferreira Lima,50680470,Rua Joaquim Ferreira Lima,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680480Rua Mucurici,50680480,Rua Mucurici,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680500Rua Pão de Açúcar,50680500,Rua Pão de Açúcar,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680520Rua Janiro Pontes,50680520,Rua Janiro Pontes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680530Rua Coronel Lima Rodrigues,50680530,Rua Coronel Lima Rodrigues,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680540Rua Barão Mendes Jaques,50680540,Rua Barão Mendes Jaques,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680560Rua Professor Selva Júnior,50680560,Rua Professor Selva Júnior,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680580Rua Barão da Soledade,50680580,Rua Barão da Soledade,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680585Rua Fernando Cavalheira,50680585,Rua Fernando Cavalheira,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680590Rua Tefé,50680590,Rua Tefé,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680600Rua Vinte e Um de Setembro,50680600,Rua Vinte e Um de Setembro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680610Rua Almirante Pedro Max,50680610,Rua Almirante Pedro Max,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680620Rua Doutor José Anastácio da Silva Guimarães,50680620,Rua Doutor José Anastácio da Silva Guimarães,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680630Rua Marquês de Queluz,50680630,Rua Marquês de Queluz,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680640Rua Dulce Oliveira,50680640,Rua Dulce Oliveira,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680650Rua Maraã,50680650,Rua Maraã,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680660Rua Violonista Ernane Reis,50680660,Rua Violonista Ernane Reis,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680670Rua Branquinha,50680670,Rua Branquinha,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680680Rua Doutor Pernambuco,50680680,Rua Doutor Pernambuco,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680685Rua Anel,50680685,Rua Anel,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680690Rua Manoel Heleno Filho,50680690,Rua Manoel Heleno Filho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680700Rua Carreiro,50680700,Rua Carreiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680710Rua Balbina,50680710,Rua Balbina,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680720Rua Barreirinha,50680720,Rua Barreirinha,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680740Rua Roteiro,50680740,Rua Roteiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680750Rua Adélia Alves,50680750,Rua Adélia Alves,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680755Rua Branca,50680755,Rua Branca,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680760Rua Coronel Lima Botelho,50680760,Rua Coronel Lima Botelho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680770Rua João Lippo,50680770,Rua João Lippo,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680780Rua Amorim,50680780,Rua Amorim,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680785Rua São João da Lagoa,50680785,Rua São João da Lagoa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680790Rua José Aciole,50680790,Rua José Aciole,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680901Rua São Mateus 891,50680901,Rua São Mateus 891,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50680970Rua São Mateus 891,50680970,Rua São Mateus 891,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690000Estrada do Barbalho,50690000,Estrada do Barbalho,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690010Rua Engenheiro Cláudio Belém,50690010,Rua Engenheiro Cláudio Belém,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690020Rua Deputado José Fernandes,50690020,Rua Deputado José Fernandes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690030Rua Vereador Eriberto Gueiros,50690030,Rua Vereador Eriberto Gueiros,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690050Rua Historiador Fernando Pio,50690050,Rua Historiador Fernando Pio,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690060Rua Berguedof Elliot,50690060,Rua Berguedof Elliot,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690070Rua Jornalista Gilson Correia,50690070,Rua Jornalista Gilson Correia,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690080Rua Tacima,50690080,Rua Tacima,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690090Rua Professor Joel Albuquerque Pontes,50690090,Rua Professor Joel Albuquerque Pontes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690100Rua Deputado Alde Sampaio,50690100,Rua Deputado Alde Sampaio,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690120Rua Jornalista Altamiro Cunha,50690120,Rua Jornalista Altamiro Cunha,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690130Rua Major Marcelo Menezes,50690130,Rua Major Marcelo Menezes,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690140Rua Lindóia do RPA 02 | Norte,50690140,Rua Lindóia do RPA 02 | Norte,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690150Rua Escritor Vanildo Bezerra Cavalcanti,50690150,Rua Escritor Vanildo Bezerra Cavalcanti,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690160Rua Edgar Fonseca de Amorim,50690160,Rua Edgar Fonseca de Amorim,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690170Rua Deputado Ângelo Jordão,50690170,Rua Deputado Ângelo Jordão,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690180Rua Deputado Amaury Pedrosa,50690180,Rua Deputado Amaury Pedrosa,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690190Rua Ator Rodolfo Mayer,50690190,Rua Ator Rodolfo Mayer,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690200Rua Armando Torres Monteiro,50690200,Rua Armando Torres Monteiro,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690220Rua Iolanda Rodrigues Sobral,50690220,Rua Iolanda Rodrigues Sobral,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
50690230Rua Marcílio Ferreira,50690230,Rua Marcílio Ferreira,Iputinga,Região Político-Administrativa,RPA 04 | Oeste,Recife,Pernambuco
